TEAM_ID,SEASON_ID,n_obs,order_full,order_reduced,bic_full,bic_reduced,bic_delta
1610612757,22022,81,"(1, 0, 0)","(1, 0, 0)",692.2788878756477,678.708450210078,13.57043766556967
1610612757,22023,81,"(1, 0, 0)","(1, 0, 0)",676.2739388421484,681.707562554049,-5.433623711900623
1610612757,22024,81,"(1, 0, 0)","(1, 0, 0)",707.3816581274091,693.8197606265096,13.561897500899477
1610612758,22022,81,"(1, 0, 0)","(1, 0, 0)",673.4520101861209,660.9237984869748,12.52821169914614
1610612758,22023,81,"(1, 0, 0)","(1, 0, 0)",701.0548871836411,687.4268557399707,13.628031443670352
1610612758,22024,81,"(1, 0, 0)","(1, 0, 0)",682.1378481754094,685.2630707322437,-3.1252225568342737
1610612759,22022,81,"(1, 0, 0)","(1, 0, 0)",690.1090980885642,674.2815145685961,15.82758351996813
1610612759,22023,81,"(1, 0, 0)","(1, 0, 0)",688.1816342407596,675.2005220712813,12.981112169478365
1610612759,22024,81,"(1, 0, 0)","(1, 0, 0)",684.463988178957,680.7999400212184,3.664048157738648
1610612760,22022,81,"(1, 0, 0)","(1, 0, 0)",657.5709323143254,646.9421935194407,10.628738794884725
1610612760,22023,81,"(1, 0, 0)","(1, 0, 0)",705.0588025169018,691.8426940010486,13.216108515853193
1610612760,22024,81,"(1, 0, 0)","(1, 0, 0)",661.5057692928817,652.6038373211112,8.901931971770523
1610612761,22022,81,"(1, 0, 0)","(1, 0, 0)",657.7739903671159,642.6635093387711,15.110481028344793
1610612761,22023,81,"(1, 0, 0)","(1, 0, 0)",700.8042499830653,684.9284925007463,15.875757482319045
1610612761,22024,81,"(1, 0, 0)","(1, 0, 0)",697.3326580925752,686.0998192521884,11.232838840386876
1610612762,22022,81,"(1, 0, 0)","(1, 0, 0)",646.4200093945012,629.6971545760146,16.722854818486667
1610612762,22023,81,"(1, 0, 0)","(1, 0, 0)",680.1394009269361,669.3100366441787,10.82936428275741
1610612762,22024,81,"(1, 0, 0)","(1, 0, 0)",694.8069273663054,679.1114626257827,15.695464740522766
1610612763,22022,81,"(1, 0, 0)","(1, 0, 0)",663.3159930931537,658.7798312332854,4.53616185986823
1610612763,22023,81,"(1, 0, 0)","(1, 0, 0)",680.0913874005262,664.2280903665448,15.863297033981326
1610612763,22024,81,"(1, 0, 0)","(1, 0, 0)",706.6247491647764,691.3686362294529,15.256112935323472
1610612764,22022,81,"(1, 0, 0)","(1, 0, 0)",665.7830888772792,654.0693264559432,11.713762421336014
1610612764,22023,81,"(1, 0, 0)","(1, 0, 0)",656.2511373676543,651.4998787362637,4.7512586313906695
1610612764,22024,81,"(1, 0, 0)","(1, 0, 0)",674.3909197924462,664.8267800659931,9.56413972645305
1610612765,22022,81,"(1, 0, 0)","(1, 0, 0)",652.0263104262572,640.0429970381228,11.98331338813432
1610612765,22023,81,"(1, 0, 0)","(1, 0, 0)",649.2055638696668,636.9164300896532,12.289133780013572
1610612765,22024,81,"(1, 0, 0)","(1, 0, 0)",678.9044479944183,665.1961130007753,13.708334993643007
1610612766,22022,81,"(1, 0, 0)","(1, 0, 0)",667.1409873932178,650.3770784061179,16.763908987099853
1610612766,22023,81,"(1, 0, 0)","(1, 0, 0)",679.8432890810701,664.9826352745531,14.860653806517007
1610612766,22024,81,"(1, 0, 0)","(1, 0, 0)",662.7152582028858,651.8720277980026,10.84323040488323
